title	link	content
전북도 '코로나19' 소상공인 특례보증 신속 지원	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003336998	신속지원시스템 구축, 기존 1개월 처리 절반으로 줄이기로[전북CBS 도상진 기자]전라북도 나석훈 일자리경제본부장이 소상공인에 대한 신속한 지원 방침을 설명하고 있다(사진=도상진 기자)'코로나19'와 관련한 긴급 추경을 편성한 전라북도가 침체된 지역경제 회복을 위해 최대한 신속하게 소상공인에 대한 지원에 나서기로 했다.전라북도와 전북신용보증재단은 도내 소상공인을 대상으로 한 특례보증의 실행 속도를 높이기 위해 신속지원시스템을 구축 운영한다고 밝혔다.전라북도는 신속지원시스템을 통하면 기존 1개월 가까이 걸리던 처리속도를 2주 이내로 단축할 것으로 보고 있다.전라북도는 또 일정 조건을 만족하면 현장실사 없이 집행에 나서 자금난에 허덕이는 소상공인을 돕게 된다고 설명했다.신속지원시스템은 전북신보의 업무 가운데 일부를 시중은행에 위탁하고 1년 미만, 7등급 이하, 5천만 원 초과 신청자를 제외하고는 현장실사 없이 진행하는 등의 방식으로 운영된다.전라북도 등의 이러한 방침은 신속집행은 '코로나19' 발생 이후 하루 70건 정도이던 전북신보의 상담이 700건을 넘어 현재 1만여 건이 상담과 3천억 원 정도의 자금 신청에 이르고 있는데 따른 것이다.전라북도는 소상공인의 어려움을 줄이기 위해 지원의 속도뿐 아니라 규모도 늘려 실질적인 혜택이 더 많은 소상공인에게 돌아갈 수 있도록 하겠다고 강조했다.한편 전라북도는 '코로나19'  확산으로 갈수록 늘고 있는 자금수요에 대응하기 위해 2650억 원 규모의 초저금리 특례보증을 긴급 투입했다.▶ 확 달라진 노컷뉴스▶ 클릭 한 번이면 노컷뉴스 구독!▶ 보다 나은 세상, 노컷브이와 함께dosj44@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지
"'새만금 해수유통' 공약화 하라"…환경단체 예비후보에 촉구	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003336997	해수유통 여론조사 결과 찬성 65%, 반대 23%"'새만금 해수유통' 미온적 후보 심판 할 것"[전북CBS 송승민 기자]2020새만금해수유통전북행동이 17일 기자회견을 열고 각 정당과 예비후보에게 '새만금 해수유통'의 공약화를 촉구했다. (사진=송승민 기자)전북지역 환경단체들이 각 정당과 21대 총선 예비후보에게 "새만금 해수유통을 21대 총선의 공약으로 선정하라"고 촉구했다.'2020새만금해수유통전북행동'은 17일 기자회견을 열고 "여론조사에서 해수유통 찬성이 과반으로 나왔다며 21대 총선에서 각 정당과 후보자들이 해수유통을 공약화해야 한다"고 주장했다.환경단체는 지난 11일 실시한 '새만금 해수유통 찬반' 여론조사에서 찬성이 65%, 반대가 23%가 나왔다고 밝혔다.지난달 김종회 국회의원실에서 실시한 '새만금 해수유통' 여론조사에서도 김제시민 73%가 찬성하고, 부안군민 78.5%가 찬성한 것으로 알려졌다.환경단체는 "전북도민 대다수가 이번 여론조사에서 새만금 해수유통에 찬성하는 것으로 확인됐다"며 "도민은 담수화를 통한 새만금호 수질개선이 불가능하다는 것을 인식하고 있다"고 주장했다.이어 환경단체는 "전북도민과 새만금 사업의 성공을 위해 국회의원 후보라면 새만금 해수유통을 찬성하고 이번 총선에 공약화하는 것이 마땅하다"고 강조했다.그러면서 환경단체는 "전북도민과 시민사회 단체가 '새만금 해수유통'을 반대하거나 미온적인 후보를 심판할 것이다"고 예비후보들에게 경고했다.한편, 2020새만금해수유통전북행동은 지난 11일 군산시민 500명을 대상으로 유선전화(RDD)를 통해 자동응답방식(ARS)으로 실시했다. 여론조사는 이너텍시스템즈, 분석은 한국사회정치여론연구소에서 실시했다.▶ 확 달라진 노컷뉴스▶ 클릭 한 번이면 노컷뉴스 구독!▶ 보다 나은 세상, 노컷브이와 함께smsong@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지
한샘, 아동복지시설에 ‘코로나19’ 방역 지원	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004391271	[파이낸셜뉴스]한샘홈케어 전문가가 수원 홀트아동복지회 놀이시설에 대해 방역을 진행하고 있다.“아동들이 많은 시설이고 하루에 외부인 100여명 이상이 드나드는 곳이라 방역에 신경이 많이 쓰였습니다. 하지만 비용 문제로 고민이 많았는데, 방역을 해준다고 했을 때 너무 기뻤습니다. (수원‘고운뜰’ (사)홀트아동복지회)김정숙 원장)코로나19확산 방지를 위한 전국민적인 노력이 펼쳐지고 있는 가운데, 종합 홈 인테리어 전문기업 한샘이 아동복지 공동주거시설의 방역지원에 나섰다.한샘은 17일 자사 홈케어 사업의 전문 인력과 ‘방역살균케어’ 서비스를 통해 체계적인 방역소독을 지원한다고 밝혔다. 한새은 지난13일 수원‘고운뜰’ (사)홀트아동복지회을 시작으로 아동복지시설인‘홀트아동복지회’와‘동방사회복지회’등 총17군데의 복지 시설에 주1회 지원할 계획이다.한샘 홈케어‘방역살균케어’는 전문 교육과정을 이수한 방역 케어 전문가가 직접 현장에 방문해 배수구, 환기구를 포함한 구역 내 모든 집기와 시설물 등 공간 전체에 방역 살균을 진행한다.한샘 관계자는 “한샘은 코로나19로 어려움을 겪는 시민들을 위해 다방면으로 지원을 아끼지 않고 있다”며 “모두가 어려운 지금 상황에 기업의 사회적 책임을 다해 손길이 닿지 않는 곳까지 관심을 갖고 함께 이겨낼 수 있도록 최선을 다하겠다”고 말했다.kjw@fnnews.com 강재웅 기자▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
경기도, 주말예배 제한 행정명령	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=002&aid=0002126631	"종교계의 양해와 협조 부탁한다"[이명선 기자]경기도가 오는 29일 주일예배 제한을 명령했다. 도가 코로나19 확산 방지를 위해 종교시설에 내린 첫 번째 행정명령으로, '사실상의 집회금지'에 해당한다.김희겸 경기도 행정1부지사는 17일 경기도청에서 기자회견을 열고, "종교계에 자발적 집회자제와 감염예방수칙 준수를 요청했지만 종교집회를 통한 감염병이 지속적으로 확산됐다"면서 "도민의 생명과 안전을 보호하기 위해 부득이 미준수 교회에 밀접집회 제한 행정명령을 발동한다"고 밝혔다.이번 조치를 지난 주말 성남 은혜의강 교회 등 교회를 중심으로 집담감염이 발생한 데 따른 것이다. 17일 0시 기준 도내 확진자수는 265명이며, 이중 종교집회를 통해 발생한 확진자는 총 71명으로 수원생명샘 교회 10명, 부천 생명수 교회 15명, 성남 은혜의 강 교회 46명 등 교회 예배를 통한 집단감염이 증가하는 추세다.밀접집회 제한 행정명령은 △교회 입장 전 발열, 기침, 인후염 등 증상유무 체크 △교회 입장 시 마스크 착용 △교회 내 손소독제 비치 활용 △예배 시 신도 간 이격거리 유지 △예배 전․후 교회 소독 실시 등 기존 감염예방수칙 5가지에 △집회예배 시 식사제공 금지 △집회예배 참석자 명단 작성을 추가해 총 7가지로 이를 지키지 않을 경우 집회가 전면 금지된다.이를 위반할 시 '감염병의 예방 및 관리에 관한 법률' 제80조 제7호에 따라 300만 원 이하의 벌금을 부과할 방침이다. 아울러 밀접집회 제한명령을 위반하고 종교집회를 개최해 확진자가 발생하는 경우 감염원에 대한 방역비와 감염자 치료비 등 제반 비용에 대한 구상권이 청구될 수 있다.김 부지사는 "이번 밀접집회 제한 행정명령은 감염병으로부터 도민의 생명과 안전을 보호하기 위한 불가피한 조치"라며 "코로나19 위기극복을 위해 종교계의 양해와 협조를 부탁드린다"고 당부했다.이명선 기자 (overview@pressian.com)▶프레시안 CMS 정기후원▶네이버 프레시안 채널 구독▶프레시안 기사제보Copyrightsⓒ PRESSian.com 무단전재 및 재배포금지
포스코건설, 업계 최초 공사계약 ‘최저가 낙찰제’ 폐지	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=018&aid=0004599108	협력사, 적정이윤 확보로 장기발전 기반 마련[이데일리 강신우 기자] 포스코건설이 중소기업간의 출혈경쟁을 초래해 온 ‘최저가 낙찰제’를 국내 건설사 최초로 폐지했다고 17일 밝혔다.최저가 낙찰제는 중소기업들의 저가 수주 경쟁을 유발해 수익성 악화의 원인 중 하나로 지목돼 왔다. 특히 감당할 수 없는 저가로 수주할 경우에는 수익성을 맞추기 위해 공사를 무리하게 감행하면서 시공 품질이 저하되고 안전재해 발생 가능성도 커 해당 중소기업은 물론 원청사까지 위험부담이 돼 왔다.이에따라 포스코건설은 공사계약에서 중소기업이 합리적인 수익을 확보할 수 있도록 ‘최저가 낙찰제’를 폐지하는 대신 ‘저가제한 기준금액’을 설정해 이보다 낮게 제시한 입찰자를 배제하는 ‘저가제한 낙찰제’를 도입하기로 했다.저가제한 기준금액은 발주예산 내에서 최저가를 제외한 입찰금액 평균과 발주예산을 합산한 평균가의 80%로 산정했다.포스코건설은 최저가 낙찰제 폐지로 상당한 추가비용 부담이 있을 것으로 전망되지만 무리한 저가낙찰로 발생할 수 있는 공사품질 저하, 안전사고 등 기회비용을 고려하면 오히려 긍정적인 효과가 더 크다고 판단했다.특히 공사에 참여하는 중소기업들이 재무적 안정성을 기반으로 고용안정과 기술개발, 안전시설 투자 등을 활발하게 추진한다면 기업시민 차원의 포스코그룹 경영이념에 걸맞게 산업 생태계 전반의 경쟁력을 높이는 계기가 될 것으로 기대하고 있다.포스코건설과 지난 15년간 거래를 맺어온 김앤드이 이준희 대표는 “저가제한 낙찰제 덕분에 앞으로 많은 중소기업들이 무리한 경쟁을 피하고, 적정 이윤을 낼 수 있는 기반이 마련되었다”며 “저가제한 낙찰제와 같은 상생협력 제도가 많은 기업에서 마련되길 바란다”고 말했다.한편 포스코건설은 지난 2011년부터 대출금리를 1% 가량 우대받을 수 있도록 상생협력 편드를 운영해 중소기업의 기술개발 투자와 재무건전성 향상에 힘을 보태 오고 있다.또 지난해 3월부터는 국내 건설업계 처음으로 담보력이 부족해 시중은행에서 자금조달이 어려운 중소기업들을 위해 ‘더불어 상생대출’지원 프로그램도 운영하며 중소기업들로부터 큰 호응을 받고 있다.강신우 (yeswhy@edaily.co.kr)벤츠 시승하고 차량용 무선충전기 받기▶네이버에서 ‘이데일리’ 구독하기▶|청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
'바이넥스' 10% 이상 상승, 주가 5일 이평선 상회, 단기·중기 이평선 역배열	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=015&aid=0004307766	◆ 차트 분석- 주가 5일 이평선 상회, 단기·중기 이평선 역배열이 시간 차트의 흐름은 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.이 종목의 차트에서 최근에 단기급락 후 5MA 상향돌파, 주가 5MA 상향돌파, 최근 5일 매물대 돌파 등을 확인할 수 있다[그래프]바이넥스 차트 분석◆ 기업개요바이넥스는 의약품 전문기업으로 알려져 있다.한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.▶네이버에서 한국경제 뉴스를 받아보세요▶한경닷컴 바로가기▶모바일한경 구독신청ⓒ 한국경제 &hankyung.com, 무단전재 및 재배포 금지
[그래픽]코로나19 한국발 입국금지·제한 국가 150곳	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=003&aid=0009761025	[서울=뉴시스]외교부에 따르면 17일 오전 9시 기준 한국 출발 여행객에게 입국 금지 조치를 내리거나 입국 절차를 강화한 국가·지역은 총 150곳으로 집계됐다. (그래픽=전진우 기자)618tue@newsis.com[사진 영상 제보받습니다]공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>
가격변동성 300%뛴 금이 안전자산?…현금만이 답	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=008&aid=0004377403	[머니투데이 김수현 기자] [안전자산인 금값마저 석달만에 1500선 무너져…극단적 장 흐름에 투자자들 현금 찾는 중]'코로나19' 공포가 전세계 증시를 덮치면서 금융시장 불안감이 커지자 안전자산으로 인식돼 온 금값마저 흔들리고 있다.16일(현지시간) CNBC 등에 따르면 이날 뉴욕상품거래소(COMEX)에서 금값은 장중 온스당 1456.8달러까지 떨어졌다. 금값이 1500달러 이하로 떨어진 것은 지난해 11월27일 이후 처음이다.'코로나19' 확산으로 세계 주식시장 폭락세가 시작됐던 지난 9일, 금값은 온스당 1703달러의 고점을 찍었다. 하지만 이날 금값은 200일 평균이동선인 1497.4달러 아래로 떨어지면서 추가 하락 가능성도 높아졌다.불안한 금융시장에서 통상적으로 금 가격은 상승한다. 하지만 극단적인 장의 흐름에 투자자들이 안전자산마저 내던지고 현금을 찾고 있는 것으로 분석된다.스티븐 갈로 BMO캐피털마켓의 유럽 FX전략 책임자는 "지난주에는 실물현금쪽으로 수요가 이동하면서 달러가 수혜를 보고 귀금속 가격이 타격을 입었다"면서 "이번주 초에도 이러한 역동성이 지속되고 있는 것으로 보이며 이와 같은 흐름이 사그라들 조짐이 거의 없다"고 전했다.금거래업체 불리온볼트의 애드리안 애쉬 리서치 본부장도 "시장이 현금으로 몰려가고 있으며 단기적으로는 가격 하락세가 더욱 가속화할 것으로 보인다"면서 "많은 투자자들이 최근 몇 달동안 금값의 급등으로 얻은 이익을 실현하기 위해 매도하고 있다"고 전했다. 그는 "지금 우리가 보고 있는 것은 2008년 금융위기 시절 금을 안식처로 봤던 투자자들을 충격에 빠뜨린 일과 매우 유사한 패턴"이라고 분석했다.하지만 애쉬 본부장은 장기적 가치자산으로서 금에 대한 수요가 여전히 높다는 점을 설명했다. 그는 "지난주 금의 가격 변동성은 이전 52주 평균보다 300% 이상 증가했다"면서 "이 말은 다른 쪽에서는 강한 금 수요가 또 있다는 것"이라고 설명했다.김수현 기자 theksh01@mt.co.kr▶줄리아 투자노트▶조 변호사의 가정상담소▶머니투데이 구독하기<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>
[그래픽]작년 여성 고위공무원 7.9%	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=003&aid=0009761024	[서울=뉴시스] 17일 여성가족부가 보고한 '공공부문 여성대표성 제고 계획' 중간점검 결과에 따르면 지난해 정부부처의 고위공무원 중 여성은 7.9%로 나타났다. 여성이 단 한 명도 없는 중앙부처, 청은 8개다. (그래픽=전진우 기자)618tue@newsis.com[사진 영상 제보받습니다]공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>
'사람이 좋다' 이동국, 스물세 번째 시즌맞이… 끝나지 않은 슈팅	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=408&aid=0000088815	현역 최고령 축구선수 이동국이 그의 일상을 전한다.17일 방송되는 MBC 휴먼다큐 '사람이 좋다'에서는 축구선수 이동국이 출연한다.1998년 프랑스 월드컵, 대한민국에 새로운 월드컵 스타가 탄생했다. 앳된 얼굴로 긴 머리를 휘날리며 그라운드를 누비던 19살 '최연소 국가대표' 이동국 이었다. 그 후 20여 년이 흘러 그는 이제 불혹을 훌쩍 넘긴 42세의 '최고령 축구선수'로 활약하고 있다.'전북 현대 모터스' 소속인 이동국은 훈련이 없는 주말마다 왕복 5시간의 거리를 달려 아이 들을 보러 간다. 관찰 예능 프로그램에 출연하며 전 국민의 사랑을 독차지했던 이동국의 다섯 아이들은 어느새 훌쩍 자랐다. 그라운드에서는 카리스마 넘치는 이동국이지만 아이들 앞에서는 무장해제되어버리는 영락없는 '아이 바보' 아빠다.특히 이동국의 둘째 딸 재아는 7살 때 테니스를 처음 시작해 지금은 '테니스 유망주'로 등극했다. 이제는 훌쩍 자라 스포츠 선수로서의 미래에 대해 이야기하는 부녀는 서로에게 가장 좋은 동료이자, 든든한 지원군이다. 종목은 다르지만 '운동선수'라는 같은 길을 걷는 모녀의 이야기를 전한다.2020년, 이동국은 올해 자신의 등 번호 '20번'과 같은 새해를 맞이했다. 그가 축구 선수로 맞는 스물세 번째 시즌이 열리는 해이기도 하다. 이동국은 '경기력이 떨어지면 시즌 중에도 언제든 축구화를 벗고 그라운드를 떠날 것'이라고 은퇴에 대한 소회를 밝혔다. 체력이 허락하는 한 관중들에게 오래 좋은 경기를 선물하고 싶다는 이동국의 '끝나지 않은 시즌', 그 시작을 '사람이 좋다'에서 함께 한다.한편, MBC 휴먼다큐 '사람이 좋다'는 매주 화요일 오후 8시 55분에 방송된다.iMBC 차혜미 | 사진제공=MBC▶ 내 아이돌의 BEST PICK▶ iMBC연예의 독점기사 보러가기
